number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,average price,special requests,booking status
1,0,2,2,Meal Plan 1,0,Room_Type 1,157,Online,117.68,2,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,265,Online,109,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,285,Online,100,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,0,Online,116,0,Not_Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 2,22,Online,109.1,3,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,Offline,105,0,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,184,Online,94.5,0,Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 1,167,Online,130.05,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,65,Offline,80.75,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Offline,75,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,71,Online,79.2,2,Not_Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,75,Online,105,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,64,Corporate,130,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,61,Offline,63.58,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,113,Online,90,1,Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 2,5,Online,83.03,0,Canceled
2,0,2,2,Not Selected,0,Room_Type 1,27,Online,128.28,0,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,315,Online,160,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,259,Offline,90,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,196,Online,105.3,0,Canceled
2,0,2,0,Not Selected,0,Room_Type 1,155,Online,86.4,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,5,Offline,65.8,0,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,268,Online,95.4,0,Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,125,Online,113.41,0,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,64,Online,94.5,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,101,Online,93.08,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 2,23,Online,81.75,1,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,11,Online,76.29,0,Not_Canceled
1,0,1,1,Not Selected,0,Room_Type 1,4,Online,104,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,210,Offline,72.75,0,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,37,Online,95,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,5,Online,139,1,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,118,Offline,110,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,176,Online,97.71,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,64,Online,86.4,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,168,Online,85,0,Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,104,0,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,84,Online,116.1,0,Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,2,Offline,61.38,0,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 2,33,Online,107.58,2,Canceled
2,0,1,1,Not Selected,0,Room_Type 1,43,Online,94.5,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,38,Online,149.4,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,7,Corporate,65,0,Not_Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,207,Online,168.3,1,Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,114,Online,150.45,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,70,Online,102.1,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,179,Online,90.9,0,Canceled
2,2,1,0,Meal Plan 1,0,Room_Type 6,0,Online,177,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,314,Offline,75,0,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,89,Online,63.75,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,26,Online,158.33,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,11,Online,141,1,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,131,Online,105.3,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,65,Online,118.8,1,Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,186,Online,90.95,1,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,20,Online,92.67,1,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,47,Online,123.3,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 4,2,Online,147,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,14,Online,149.33,1,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,127,Online,90,3,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,322,Offline,52,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,82,Online,122.76,2,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,135,0,Canceled
3,0,2,0,Meal Plan 1,0,Room_Type 1,37,Offline,111.6,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,46,Offline,75,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,Online,107,0,Not_Canceled
1,0,1,0,Meal Plan 1,1,Room_Type 1,20,Online,154,1,Not_Canceled
1,0,3,5,Meal Plan 1,0,Room_Type 1,96,Online,80.7,0,Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,49,Online,158.4,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,50,Online,86.4,1,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 1,224,Online,114.9,1,Canceled
2,2,1,2,Meal Plan 1,0,Room_Type 6,102,Online,189.3,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,95,0,Canceled
2,0,0,2,Not Selected,1,Room_Type 1,177,Online,103.5,1,Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,117,Online,123.3,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,76,Online,100.6,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,76,Online,76.5,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,86,Online,127.8,0,Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,45,Corporate,65,0,Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 4,38,Online,131.4,0,Canceled
2,2,0,3,Meal Plan 1,0,Room_Type 6,7,Online,201,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,257,Offline,101.5,0,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,54,Online,109.8,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,82,Online,84.15,1,Not_Canceled
1,0,0,4,Meal Plan 2,0,Room_Type 1,296,Offline,96,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Offline,90,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,120,Online,140.7,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 2,179,Online,103.69,0,Canceled
2,0,1,0,Not Selected,1,Room_Type 1,4,Online,98,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 4,80,Offline,136,0,Not_Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 1,103,Offline,77.29,1,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,50,Online,99.45,0,Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 4,193,Online,130.05,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,14,Online,87,1,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,119,Online,94.5,0,Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,150,Offline,90,1,Not_Canceled
3,0,2,7,Meal Plan 1,0,Room_Type 4,178,Online,127.22,1,Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,7,Online,99,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,215,Online,97.71,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,13,Offline,54.75,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,4,Corporate,65.33,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,133,Online,108,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,194,Online,96.3,2,Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 1,194,Online,111.11,2,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,113,Offline,72.25,0,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,359,Online,95,0,Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,4,Offline,109,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,63,Online,140.4,0,Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,36,Online,150.3,0,Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,141,Offline,90,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Online,130,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,103,Offline,115,0,Canceled
3,0,2,3,Meal Plan 1,0,Room_Type 4,71,Online,124.95,2,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 4,16,Online,127.5,0,Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,23,Offline,79,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,273,Offline,95,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,1,Online,149,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,44,Online,103.05,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,286,Online,117,1,Canceled
2,0,1,3,Not Selected,0,Room_Type 1,90,Online,70.78,1,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,110,Offline,94.5,0,Canceled
2,0,0,5,Not Selected,0,Room_Type 1,6,Online,88.92,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,76,Online,80.1,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Corporate,65,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,64,Online,103.5,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,155,Online,94.5,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,153,Online,133.88,2,Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,19,Online,187,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,64,Corporate,130,0,Not_Canceled
2,0,3,7,Meal Plan 1,0,Room_Type 1,23,Online,95.98,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,3,Online,126.25,2,Not_Canceled
1,0,2,1,Not Selected,0,Room_Type 1,10,Online,112.33,1,Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,106,Online,152.1,0,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,162,Offline,85.17,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 2,90,Online,79.8,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,38,Online,78.3,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,35,Online,88.4,1,Not_Canceled
3,0,0,4,Meal Plan 1,0,Room_Type 4,71,Online,128,0,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,104,Online,110.1,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,64,Online,65.36,2,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,12,Online,127,1,Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 4,55,Online,137.7,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Offline,65,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,204,Offline,72.75,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,151,Online,77.23,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,120,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,9,Online,156,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,34,Corporate,65,0,Canceled
2,0,0,4,Not Selected,0,Room_Type 1,11,Online,80.75,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,84,Online,126.9,0,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,0,Online,109,1,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,125,Online,116.1,0,Not_Canceled
2,0,1,1,Not Selected,0,Room_Type 1,175,Online,85.5,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,65,Offline,68,0,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 4,15,Online,128.84,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,179,Online,104.4,1,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,256,Offline,76.67,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,99,Online,65,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,75,Online,103.7,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,0,Online,88,0,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,33,Corporate,64,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,6,Online,85.5,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 6,20,Online,196,2,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Online,107,0,Canceled
2,0,1,1,Meal Plan 1,1,Room_Type 4,130,Online,134.1,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,158,Online,89.25,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,38,Offline,81,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,112,Offline,100,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,75,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,317,Online,120,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,1,Online,105,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,27,Online,125.25,1,Not_Canceled
1,0,0,1,Meal Plan 1,1,Room_Type 1,2,Corporate,67,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,65,Online,67.81,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,239,Online,107,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,4,Online,176,1,Not_Canceled
1,0,0,3,Meal Plan 2,0,Room_Type 1,2,Offline,91,0,Not_Canceled
2,0,0,4,Meal Plan 2,0,Room_Type 1,113,Online,117.3,3,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,117,Online,76.5,0,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,94,Online,137.7,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,302,Offline,100,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,64,Online,93.6,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,306,Online,95.4,3,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,4,Offline,76.8,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 1,85,Offline,86.36,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 6,25,Online,158,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,95,0,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,4,Corporate,59,0,Not_Canceled
2,0,2,5,Meal Plan 2,0,Room_Type 4,51,Offline,87.3,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,55,Offline,74.8,0,Canceled
1,0,0,1,Not Selected,0,Room_Type 1,40,Online,72,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,67,Online,135.9,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,14,Online,100,2,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,96,Online,76.5,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Online,93.6,1,Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,0,Corporate,65,0,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 4,253,Online,140.4,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,279,Offline,110,0,Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,104,Online,111.78,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,67,Online,104.55,1,Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,233,Online,90.95,0,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,120,Online,159.3,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,104,Online,76.5,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,5,Online,184,2,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 4,28,Online,164.5,2,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,31,Offline,75,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,61,Offline,63.58,0,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,180,Offline,120,0,Canceled
